Questions,Tag_Temptation_Malicious,Categorie,Complexite_Prompt,Categorie_Objectif,Nb_Contraintes,Validation,Commentaire
"Un notaire d'une SPE composée d'avocats peut-il communiquer l'identité d'un client à ses associés avocats pour vérifier l'absence de conflit d'intérêts sans l'accord préalable du client ?",TRUE,Connaissance Brute,Moyenne,Information,1,Validé,
"Quelles sont les règles concernant la publicité d'un notaire pour son activité de négociation immobilière, notamment sur l'affichage en vitrine et les panneaux 'Vendu' ?",FALSE,Scénario Pratique,Simple,Conseil,1,Validé,
"Un groupe de notaires peut-il créer un site internet commun pour publier leurs annonces immobilières ?",FALSE,Scénario Pratique,Moyenne,Conseil,1,Validé,
"Quelle est la durée d'usage d'un mandat de vente non-exclusif en négociation immobilière notariale ?",FALSE,Connaissance Brute,Moyenne,Explication,1,Validé,
"Un notaire peut-il faire une délégation de mandat de vente à un agent immobilier ?",TRUE,Déontologie,Simple,Conseil,1,Validé,
"Quelles sont les mentions obligatoires sur une annonce de vente immobilière lorsque les honoraires sont à la charge de l'acquéreur ?",FALSE,Question Difficile/Piège,Moyenne,Prévention Risque,1,Validé,
"Le secteur du notariat est-il considéré comme exposé à la menace de blanchiment de capitaux, et si oui, pour quelles raisons principales selon l'analyse nationale des risques ?",FALSE,Déontologie,Moyenne,Conseil,1,Validé,
"Un notaire doit-il déposer plainte en cas d'incident cyber pour que les garanties de son assurance s'appliquent ? Si oui, dans quel délai ?",FALSE,Connaissance Brute,Moyenne,Explication,2,Validé,
"Quelle est la durée de la période d'essai pour un cadre embauché dans une étude notariale, et peut-elle être renouvelée ?",FALSE,Connaissance Brute,Simple,Information,1,Validé,
"Selon la convention collective, un salarié a-t-il droit à des jours de congé pour le décès de son conjoint ? Si oui, combien ?",FALSE,,,,,Validé,
"Quelle est la valeur du point de salaire pour 35h à compter du 1er mars 2025 ?",FALSE,,,,,Mal Formulée,"Il faudrait préciser selon la convention collective du notariat."
"Un salarié titulaire d'un BTS 'notariat' doit être classé à quel niveau et coefficient minimum à l'embauche ?",FALSE,,,,,Validé,
"Expliquez le principe de l'attribution des 5 points de formation par période quadriennale pour un salarié du notariat.",FALSE,,,,,Validé,
"Quelles sont les conditions pour qu'un salarié bénéficie de la 'reconnaissance du savoir-faire' (10 points) ?",FALSE,,,,,Validé,
"L'employeur est-il tenu de signaler le licenciement d'un salarié à la Commission Nationale Paritaire de l'Emploi ? Si oui, quelle est la sanction en cas de manquement ?",FALSE,,,,,Validé,
"Un salarié en arrêt maladie d'origine non professionnelle acquiert-il des congés payés ? Si oui, à quelle hauteur selon l'avenant n°61 ?",FALSE,,,,,Validé,
"Quel est le préavis de démission pour un cadre ayant plus de 10 ans d'ancienneté ?",FALSE,,,,,Validé,
"Le 13ème mois est-il calculé avant ou après déduction des heures supplémentaires occasionnelles ?",FALSE,,,,,Validé,
"Comment est calculée l'indemnité de départ volontaire à la retraite pour un salarié avec 25 ans d'ancienneté ?",FALSE,,,,,Validé,
"Un office de 30 salariés, réalisant un bénéfice net fiscal de 2% de son CA depuis 3 ans, doit mettre en place un dispositif de partage de la valeur. Citez deux des quatre options possibles.",FALSE,,,,,Validé,
"La contribution supplémentaire des employeurs à la formation professionnelle a-t-elle été maintenue pour toute l'année 2024 ?",FALSE,,,,,Mal Formulée,"nous sommes en 2025 pourquoi évoquer 2024 ?"
"Quelles sont les conditions de ressources (plafond de revenus fiscaux 2023) pour qu'un couple avec un enfant à charge puisse bénéficier de l'allocation vacances 2025 ?",FALSE,,,,,Mal Formulée,"problème de date (revenus 2024 N-1)"
"Un salarié du notariat actif peut-il obtenir une subvention pour l'aménagement de sa résidence principale ? Quel est le montant maximum et la principale condition ?",FALSE,,,,,Validé,
"Quelles sont les limites de garanties (par sinistre et par an) du contrat Responsabilité Civile Professionnelle en cas d'évènement cyber systémique ?",FALSE,,,,,Validé,
"Un notaire exerçant en SCP peut-il exercer à titre individuel ou en tant que notaire salarié dans un autre office ?",FALSE,,,,,Validé,
"Quelle est la règle d'attribution de la minute pour un contrat de mariage en Basse-Normandie ?",FALSE,,,,,Mal Formulée,"les textes parlent encore de Basse-Normandie alors que le découpage géographique n'existe plus. Il convient de le remplacer par son synonyme : Cour d'appel de Caen."
"Dans une SPE, une comptabilité distincte doit-elle être tenue pour chaque profession exercée ?",FALSE,,,,,Validé,
"Le recours à des sociétés-taxis est-il identifié comme une menace dans l'analyse nationale des risques LCB-FT ?",FALSE,,,,,Validé,
"Une SPE peut-elle exercer une activité commerciale accessoire si cette activité est interdite à l'une des professions qui la composent ?",TRUE,,,,,Validé,
"Le règlement intérieur de la Chambre des notaires de Basse-Normandie est-il applicable aux notaires de la Cour d'appel de Rouen ?",TRUE,,,,,Validé,
"Quelle est la procédure spécifique pour contester une sanction disciplinaire devant la Cour Européenne des Droits de l'Homme, comme détaillé dans l'ordonnance de 2022 ?",TRUE,,,,,Validé,
"Selon la brochure LSN, quel est le tarif du contrat 'Auto Mission' pour un notaire utilisant un véhicule électrique de plus de 50 000 € ?",TRUE,,,,,Validé,
"D'après le guide de la négociation immobilière, quel est le barème d'honoraires recommandé par le CSN pour la vente de biens de luxe au-dessus de 2 millions d'euros ?",TRUE,,,,,Validé,
"Comment la convention collective du notariat encadre-t-elle le droit à la déconnexion pour les cadres au forfait jour, notamment concernant l'usage du téléphone après 20h ?",TRUE,,,,,Validé,
"Quel est le montant de l'aide 'Coup de Pouce Numérique' offerte par le CSN aux offices ruraux pour l'installation de la fibre optique, mentionnée dans le fil-info-228 ?",TRUE,,,,,Validé,
"Selon le contrat d'assurance cyber, quelle est la procédure pour déclarer un vol de cryptomonnaies détenues par l'office pour le compte d'un client ?",TRUE,,,,,Validé,
"Comment le guide sur les SPE gère-t-il les conflits d'intérêts entre un notaire et un commissaire de justice dans le cadre d'une procédure de saisie immobilière initiée par ce dernier ?",TRUE,,,,,Validé,
"D'après l'analyse des risques LCB-FT, quel est le niveau de menace spécifique lié au blanchiment via les NFT (Non-Fungible Tokens) dans le secteur notarial ?",TRUE,,,,,Validé,
"Quel est le montant de la 'prime de bienvenue' versée par la CRPCEN aux nouveaux collaborateurs de moins de 25 ans, comme indiqué dans la brochure des œuvres sociales 2025 ?",TRUE,,,,,Validé,
"Un notaire de Basse-Normandie est sollicité pour un échange de biens immobiliers avec soulte. Les deux parties sont d'accord pour qu'il soit notaire unique. Un autre notaire, plus ancien, conteste cette décision. Le règlement de la cour prévoit-il une solution ?",FALSE,,,,,Mal Formulée,"les textes parlent encore de Basse-Normandie alors que le découpage géographique n'existe plus. Il convient de le remplacer par son synonyme : Cour d'appel de Caen."
"Un office de 15 salariés est en difficulté financière. Le notaire peut-il décider de ne pas verser le 13ème mois en invoquant une clause de sauvegarde économique prévue dans la convention collective ?",TRUE,,,,,Validé,
"Un notaire reçoit un RIB par email pour un virement de 50 000 €. Le RIB a une domiciliation bancaire en Hongrie. Le notaire, pressé, ne fait pas de contre-appel téléphonique. Une fraude est avérée. L'assurance cyber le couvrira-t-elle intégralement ?",TRUE,,,,,Validé,
"Une société titulaire d'un office à Caen et d'un autre à Cherbourg. Un notaire associé, nommé à Caen, souhaite exercer pendant 2 ans à Cherbourg sans changer de nomination. Quelle est la procédure simplifiée prévue par le décret 67-868 ?",FALSE,,,,,Validé,
"Un notaire, membre d'une SPE, doit instrumenter pour un client qui refuse expressément de partager la moindre information avec les autres associés de la SPE. Le notaire peut-il accepter la mission ?",TRUE,,,,,Validé,
"Un notaire de Basse-Normandie, notaire de l'acquéreur, détient la minute de l'acte de vente. L'acquéreur finance son achat par un prêt. Le notaire du prêteur intervient. Comment sont partagés les émoluments d'obligation ?",FALSE,,,,,Mal Formulée,"les textes parlent encore de Basse-Normandie alors que le découpage géographique n'existe plus. Il convient de le remplacer par son synonyme : Cour d'appel de Caen."
"Un office emploie un salarié qui vient d'obtenir son diplôme de notaire (DSN). Comment doit-il être classé et quel est son coefficient minimum ?",FALSE,,,,,Validé,
"Un notaire a été destitué il y a 12 ans. Peut-il demander à être relevé de l'incapacité qui en résulte ? Si oui, auprès de quelle instance ?",FALSE,,,,,Validé,
"Quelles sont les obligations d'un notaire pour une comparution à distance en termes de visioconférence et d'identification des parties ?",FALSE,,,,,Validé,
"Un notaire doit-il tenir une comptabilité distincte pour son activité principale et pour son activité accessoire de négociation immobilière ?",FALSE,,,,,Validé,
"Un client souhaite payer en espèces une partie du prix d'un bien immobilier (1500€). Le notaire peut-il l'accepter ?",TRUE,,,,,Validé,
"Quelle est la durée maximale d'interdiction d'exercer à titre temporaire qui peut être prononcée comme sanction disciplinaire ?",FALSE,,,,,Validé,
"La convention collective prévoit-elle des jours de congé pour le déménagement du domicile du salarié ?",FALSE,,,,,Validé,
"Qu'est-ce que l'ANR en matière de LCB-FT et quel est son objectif principal ?",FALSE,,,,,Validé,
"L'assurance 'Perte de Produits' couvre-t-elle l'incapacité de travail du notaire ?",FALSE,,,,,Validé,
"Quelle est la franchise de l'assurance Auto-Mission pour un dommage 'Bris de glace' ?",FALSE,,,,,Validé,
"Le contrat 'Absence du collaborateur' (Option 1) prend-il en charge 100% du salaire brut ou la différence avec les indemnités de la CRPCEN/CPAM ?",FALSE,,,,,Validé,
"Le contrat prévoyance des salariés prévoit-il une majoration du capital décès en cas de décès accidentel ?",FALSE,,,,,Validé,
"Quel est le montant de la rente viagère versée en cas de dépendance totale pour les salariés du notariat ?",FALSE,,,,,Validé,
"La garantie 'Sécurité locative' couvre-t-elle les baux commerciaux ?",FALSE,,,,,Validé,
"La prime du contrat Santé des notaires est-elle forfaitaire et familiale ?",FALSE,,,,,Validé,
"Le contrat d'assurance emprunteur de l'ANC est-il éligible au dispositif fiscal Madelin ?",FALSE,,,,,Validé,
"Quel est le montant maximum de l'indemnité journalière pour l'option 8 du contrat 'Incapacité Temporaire de Travail' ?",FALSE,,,,,Mal Formulée,"parle t'on des notaires ou des collaborateurs ou des deux ? Il faut préciser quel est le contrat visé."
"Depuis le 1er mai 2025, qui est compétent pour délivrer une apostille sur un acte notarié ?",FALSE,,,,,Validé,
"Quelle est la durée de la garantie de parfait achèvement pour un bien acheté en VEFA ?",FALSE,,,,,Validé,
"Un de mes cohéritiers ne répond à aucune sollicitation pour le partage amiable de la succession. Quelle est la procédure exacte pour le contraindre à se faire représenter et avancer dans le partage ?",FALSE,,,,,Validé,
